,score,learner,type,features
0,0.9866666666666667,Random Forest,Imputed,12000
1,0.9866666666666667,GBC,Imputed,12000
2,0.9866666666666667,Naive Bayes,Imputed,12000
3,0.9333333333333333,KNN,Imputed,12000
0,0.9866666666666667,Random Forest,Imputed,12000
1,0.9866666666666667,GBC,Imputed,12000
2,0.9866666666666667,Naive Bayes,Imputed,12000
3,0.9333333333333333,KNN,Imputed,12000
