First_1_Dig,Counts,Found,Expected,digit
1,3609,0.210609243697479,0.3010299956639812,1
2,796,0.046451914098972924,0.17609125905568124,2
3,4311,0.25157563025210083,0.12493873660829992,3
4,324,0.018907563025210083,0.09691001300805642,4
5,198,0.011554621848739496,0.07918124604762482,5
6,196,0.011437908496732025,0.06694678963061322,6
7,434,0.025326797385620915,0.05799194697768673,7
8,3046,0.1777544351073763,0.05115252244738129,8
9,4222,0.24638188608776845,0.04575749056067514,9
