First_1_Dig,Counts,Found,Expected,digit
1,10217.0,0.893328670105797,0.3010299956639812,1
2,952.0,0.08323861152400105,0.17609125905568124,2
3,98.0,0.008568680598058931,0.12493873660829992,3
4,37.0,0.0032351141033487804,0.09691001300805642,4
5,51.0,0.004459211331642913,0.07918124604762482,5
6,38.0,0.003322549619655504,0.06694678963061322,6
7,2.0,0.0001748710326134476,0.05799194697768673,7
8,0.0,0.0,0.05115252244738129,8
9,42.0,0.0036722916848823993,0.04575749056067514,9
