,score,learner
0,0.975609756097561,Random Forest
1,0.6951219512195121,SVC
2,0.9634146341463414,GBC
3,0.9390243902439024,Naive Bayes
4,0.9634146341463414,KNN
5,0.7073170731707317,MLP
