,score,learner,type
0,0.9866666666666667,Random Forest,cna
1,0.8533333333333334,SVC,cna
2,0.9866666666666667,GBC,cna
3,0.9866666666666667,Naive Bayes,cna
4,0.88,KNN,cna
5,0.8266666666666667,MLP,cna
