First_1_Dig,Counts,Found,Expected,digit
1,8781,0.5118922700244841,0.3010299956639812,1
2,4054,0.23632971901597294,0.17609125905568124,2
3,2127,0.12399440363763553,0.12493873660829992,3
4,135,0.007869884575026232,0.09691001300805642,4
5,387,0.022560335781741866,0.07918124604762482,5
6,1426,0.08312929928879562,0.06694678963061322,6
7,178,0.010376588550775329,0.05799194697768673,7
8,19,0.0011076133846333216,0.05115252244738129,8
9,47,0.002739885740935059,0.04575749056067514,9
