First_1_Dig,Counts,Found,Expected,digit
1,3531,0.2060694484972279,0.3010299956639812,1
2,1443,0.08421359789903705,0.17609125905568124,2
3,2789,0.162766267872775,0.12493873660829992,3
4,242,0.014123139772395682,0.09691001300805642,4
5,261,0.015231981324773854,0.07918124604762482,5
6,412,0.024044353662095126,0.06694678963061322,6
7,782,0.04563758389261745,0.05799194697768673,7
8,1646,0.09606069448497227,0.05115252244738129,8
9,6029,0.3518529325941056,0.04575749056067514,9
